ds,yhat,yhat_lower,yhat_upper
1997-01-01,-4488.736715969562,-16555.01329910648,9223.282719384257
1998-01-01,-4502.509501921519,-18504.451754306618,7608.650894005548
1999-01-01,-4861.333001540535,-18007.920114310353,7714.578731215326
2000-01-01,-5563.617388623228,-18530.68312386544,7449.9833208306745
2002-01-01,-595.4488587503911,-12826.205203976646,11811.02085630121
2003-01-01,-954.2723583105835,-13534.035162377768,12254.676982433066
2008-01-01,2250.503895588491,-10025.364578784127,15101.941707540725
2010-01-01,7218.672424508044,-5181.504821444985,19670.764485315893
2011-01-01,6859.848924843813,-5210.474116265145,19894.436831766136
2012-01-01,6157.564538114252,-5902.127699270209,18857.79036152324
2013-01-01,11139.519533404331,-1687.2184706495502,22155.740265288747
2014-01-01,11125.760389500234,-1796.3911383626307,23077.26316578327
2015-01-01,10766.95053226969,-2258.2894396620272,23776.29595100654
2016-01-01,10064.679787610468,-3431.2286915647064,22525.904986974416
2017-01-01,15046.634782819863,1887.5700205884111,28124.52015236615
2018-01-01,15032.875639318452,2744.982250511277,27556.63695601485
2019-01-01,14674.065782184212,2804.800346922458,28286.31219477799
2020-01-01,13971.795037568098,2134.6784673467987,26887.635876156368
2021-01-01,18953.750032862583,6408.767729812033,31233.200292224774
2022-01-01,18939.990889124194,7374.294403635677,31580.90721588674
2023-01-01,18581.181032058084,6089.040804030575,31490.055615749876
2024-01-01,17878.910287464267,5073.323323815962,29952.159862780223
2024-12-31,16835.37087534204,4974.596198246552,29115.39136552058
2025-12-31,15453.354126346996,2510.698979911309,27477.926193851137
2026-12-31,13736.24618847787,1857.5973944540951,27181.17147589086
2027-12-31,11688.022731267645,-853.2486230151173,23544.83787823502
2028-12-31,20742.486125219402,8134.896236010882,32557.541893908838
